ID,대륙,여행지,기후,수질(경수/연수),별점,성별,나이,직업,피부타입,체감온도,습도,추천 화장품,추천 메이크업,추천 스킨케어,리뷰 내용
clearskin_story,아시아,대만,열대기후,연수,★★☆☆☆,남성,21,수의사,민감성,30°C (체감),88%,"저자극 선크림, 진정 스프레이, 수분 시트마스크",색조보다는 톤업 선크림 위주로 산뜻하게 마무리하는 것을 권장합니다.,피지 분비가 많아지는 시기이므로 클레이 마스크로 주 1~2회 관리해 주는 것을 추천합니다.,습도가 정말 높아서 화장이 금방 무너졌어요. 저자극 선크림 없이는 하루도 버티기 힘들었어요.
jiyoung_diary,아시아,대만,열대기후,연수,★★★☆☆,여성,28,영업직,민감성,32°C (체감),75%,"가벼운 수분 선크림, 쿠션, 미스트",워터프루프 아이라이너와 마스카라로 땀과 습기에 대비하는 것이 좋습니다.,저녁에 이중세안을 꼭 하고 산뜻한 젤 타입 제품으로 유수분 밸런스를 유지하세요.,생각보다 더 더워서 땀 때문에 끈적임이 심했는데 가벼운 수분 선크림이 정말 큰 도움이 됐습니다.
frostyvibe_mode,아시아,몽골,건조기후,경수,★★★☆☆,남성,59,작가,복합성,33°C (체감),30%,"고SPF 선크림, 쿨링 미스트, 립밤",립 제품은 보습 밤 타입을 선택해 건조함으로 인한 각질을 예방하세요.,건조한 기후이므로 미스트를 수시로 뿌려 수분을 보충하는 것이 중요합니다.,일교차가 커서 낮에는 덥고 밤에는 쌀쌀해 피부가 예민해졌어요.
nayeon07,아시아,몽골,건조기후,경수,★★★★☆,여성,26,연구원,복합성,35°C (체감),33%,"수분 크림, 선쿠션, 진정 스프레이",촉촉한 베이스에 크림 타입 블러셔로 생기를 더하는 메이크업을 추천합니다.,강한 햇빛 대비 SPF 높은 제품을 사용하고 쿨링 미스트로 열감을 진정시켜 주세요.,건조한 바람 때문에 입술과 볼이 자주 텄어요. 수분 크림 없이는 힘들었을 것 같아요.
haru_92,아시아,몽골,건조기후,경수,★★★☆☆,남성,33,바리스타,복합성,37°C (체감),16%,"고보습 선크림, 미스트, 영양 크림",메이크업은 최소화하고 톤업 선크림으로 자연스럽게 마무리하는 것을 권장합니다.,자외선 노출 후 진정 젤로 쿨다운하고 세럼으로 수분을 채워주는 것을 추천합니다.,햇빛이 강렬해서 선크림을 2~3시간마다 덧발라야 했어요.
glowup_love,아시아,몽골,건조기후,경수,★★★★★,여성,40,프로그래머,복합성,39°C (체감),19%,"저자극 선크림, 진정 젤, 수분 세럼",가벼운 수분 쿠션으로 건조함을 커버하며 자연스러운 룩을 연출하세요.,낮은 습도로 인한 수분 손실을 막기 위해 고보습 크림을 겹겹이 발라주세요.,사막성 기후라 그런지 평소보다 피부가 훨씬 건조해지는 걸 느꼈어요.
eunwoo_note,아시아,몽골,건조기후,경수,★★★★☆,남성,47,프리랜서,복합성,41°C (체감),22%,"수분 로션, 선크림, 핸드크림",고보습 베이스 제품으로 들뜸 없이 매끈한 피부 표현이 가능합니다.,입술과 손이 트기 쉬우므로 립밤과 핸드크림을 항상 휴대하는 것이 좋습니다.,낮은 습도 때문에 피부가 계속 당기고 화장이 들떴어요. 수분 로션이 필수였습니다.
sunnytraveler23,아시아,태국,열대기후,연수,★★★☆☆,여성,54,회사원,복합성,31°C (체감),89%,"가벼운 수분 선크림, 쿠션, 미스트",워터프루프 아이라이너와 마스카라로 땀과 습기에 대비하는 것이 좋습니다.,저녁에 이중세안을 꼭 하고 산뜻한 젤 타입 제품으로 유수분 밸런스를 유지하세요.,생각보다 더 더워서 땀 때문에 끈적임이 심했는데 가벼운 수분 선크림이 정말 큰 도움이 됐습니다.
dahye_life,아시아,태국,열대기후,연수,★★★★★,남성,21,교사,복합성,33°C (체감),76%,"워터프루프 아이라이너, 피지 흡수 패드, 쿨링 젤",얇은 베이스에 워터프루프 제품 위주로 메이크업하고 픽싱 스프레이로 마무리하는 것을 추천합니다.,외출 중 블로팅 페이퍼로 피지를 자주 관리하고 쿨링 토너로 진정시켜 주세요.,야외 일정이 많았는데 자외선이 강해서 워터프루프 아이라이너을 자주 덧발라야 했어요.
sunnytraveler_log,아시아,태국,열대기후,연수,★★☆☆☆,여성,28,요리사,복합성,35°C (체감),79%,"워터프루프 선크림, 피지 컨트롤 파우더, 픽싱 미스트",매트한 베이스로 유분과 땀을 컨트롤하며 색조는 최소화하는 것이 좋습니다.,자외선 노출 후에는 진정 스프레이와 수분 시트마스크로 피부를 달래주는 것이 좋습니다.,고온다습한 날씨 탓에 피부 트러블이 갑자기 올라와서 당황했어요.
desertrose_life,아시아,태국,열대기후,연수,★★☆☆☆,남성,35,자영업,복합성,30°C (체감),82%,"매트 선크림, 블로팅 페이퍼, 쿨링 토너",촉촉한 쿠션으로 습기에도 밀리지 않게 가볍게 표현하는 것을 추천합니다.,실내외 온습도 차이가 크므로 미스트로 수시로 수분을 보충해 주세요.,에어컨 실내와 습한 실외를 오가다 보니 피부 컨디션이 계속 오락가락했어요.
glowygirl_life,아시아,태국,열대기후,연수,★★★★☆,여성,42,여행가이드,복합성,32°C (체감),85%,"저자극 선크림, 진정 스프레이, 수분 시트마스크",색조보다는 톤업 선크림 위주로 산뜻하게 마무리하는 것을 권장합니다.,피지 분비가 많아지는 시기이므로 클레이 마스크로 주 1~2회 관리해 주는 것을 추천합니다.,습도가 정말 높아서 화장이 금방 무너졌어요. 저자극 선크림 없이는 하루도 버티기 힘들었어요.
nomakeupdays_story,아시아,태국,열대기후,연수,★★★★☆,남성,49,작가,복합성,34°C (체감),88%,"가벼운 수분 선크림, 쿠션, 미스트",워터프루프 아이라이너와 마스카라로 땀과 습기에 대비하는 것이 좋습니다.,저녁에 이중세안을 꼭 하고 산뜻한 젤 타입 제품으로 유수분 밸런스를 유지하세요.,생각보다 더 더워서 땀 때문에 끈적임이 심했는데 가벼운 수분 선크림이 정말 큰 도움이 됐습니다.
jiwoo_mode,아시아,태국,열대기후,연수,★★★★☆,여성,56,연구원,복합성,36°C (체감),75%,"워터프루프 아이라이너, 피지 흡수 패드, 쿨링 젤",얇은 베이스에 워터프루프 제품 위주로 메이크업하고 픽싱 스프레이로 마무리하는 것을 추천합니다.,외출 중 블로팅 페이퍼로 피지를 자주 관리하고 쿨링 토너로 진정시켜 주세요.,야외 일정이 많았는데 자외선이 강해서 워터프루프 아이라이너을 자주 덧발라야 했어요.
hydrated_log,아시아,태국,열대기후,연수,★★★★☆,남성,23,바리스타,복합성,31°C (체감),78%,"워터프루프 선크림, 피지 컨트롤 파우더, 픽싱 미스트",매트한 베이스로 유분과 땀을 컨트롤하며 색조는 최소화하는 것이 좋습니다.,자외선 노출 후에는 진정 스프레이와 수분 시트마스크로 피부를 달래주는 것이 좋습니다.,고온다습한 날씨 탓에 피부 트러블이 갑자기 올라와서 당황했어요.
serumfan_k,아시아,태국,열대기후,연수,★☆☆☆☆,여성,30,프로그래머,복합성,33°C (체감),81%,"매트 선크림, 블로팅 페이퍼, 쿨링 토너",촉촉한 쿠션으로 습기에도 밀리지 않게 가볍게 표현하는 것을 추천합니다.,실내외 온습도 차이가 크므로 미스트로 수시로 수분을 보충해 주세요.,에어컨 실내와 습한 실외를 오가다 보니 피부 컨디션이 계속 오락가락했어요.
sunkissed07,아시아,태국,열대기후,연수,★★★★☆,남성,37,프리랜서,복합성,35°C (체감),84%,"저자극 선크림, 진정 스프레이, 수분 시트마스크",색조보다는 톤업 선크림 위주로 산뜻하게 마무리하는 것을 권장합니다.,피지 분비가 많아지는 시기이므로 클레이 마스크로 주 1~2회 관리해 주는 것을 추천합니다.,습도가 정말 높아서 화장이 금방 무너졌어요. 저자극 선크림 없이는 하루도 버티기 힘들었어요.
roadtripper_ing,아시아,베트남,열대기후,연수,★★★★★,여성,34,디자이너,복합성,30°C (체감),85%,"가벼운 수분 선크림, 쿠션, 미스트",워터프루프 아이라이너와 마스카라로 땀과 습기에 대비하는 것이 좋습니다.,저녁에 이중세안을 꼭 하고 산뜻한 젤 타입 제품으로 유수분 밸런스를 유지하세요.,생각보다 더 더워서 땀 때문에 끈적임이 심했는데 가벼운 수분 선크림이 정말 큰 도움이 됐습니다.
areum_k,아시아,베트남,열대기후,연수,★★★★★,남성,41,승무원,복합성,32°C (체감),88%,"워터프루프 아이라이너, 피지 흡수 패드, 쿨링 젤",얇은 베이스에 워터프루프 제품 위주로 메이크업하고 픽싱 스프레이로 마무리하는 것을 추천합니다.,외출 중 블로팅 페이퍼로 피지를 자주 관리하고 쿨링 토너로 진정시켜 주세요.,야외 일정이 많았는데 자외선이 강해서 워터프루프 아이라이너을 자주 덧발라야 했어요.
eunji_official,아시아,베트남,열대기후,연수,★★★☆☆,여성,48,마케터,복합성,34°C (체감),75%,"워터프루프 선크림, 피지 컨트롤 파우더, 픽싱 미스트",매트한 베이스로 유분과 땀을 컨트롤하며 색조는 최소화하는 것이 좋습니다.,자외선 노출 후에는 진정 스프레이와 수분 시트마스크로 피부를 달래주는 것이 좋습니다.,고온다습한 날씨 탓에 피부 트러블이 갑자기 올라와서 당황했어요.
sunnytraveler_life,아시아,베트남,열대기후,연수,★☆☆☆☆,남성,55,공무원,복합성,36°C (체감),78%,"매트 선크림, 블로팅 페이퍼, 쿨링 토너",촉촉한 쿠션으로 습기에도 밀리지 않게 가볍게 표현하는 것을 추천합니다.,실내외 온습도 차이가 크므로 미스트로 수시로 수분을 보충해 주세요.,에어컨 실내와 습한 실외를 오가다 보니 피부 컨디션이 계속 오락가락했어요.
moisturemax_diary,아시아,베트남,열대기후,연수,★★★★☆,여성,22,회계사,복합성,31°C (체감),81%,"저자극 선크림, 진정 스프레이, 수분 시트마스크",색조보다는 톤업 선크림 위주로 산뜻하게 마무리하는 것을 권장합니다.,피지 분비가 많아지는 시기이므로 클레이 마스크로 주 1~2회 관리해 주는 것을 추천합니다.,습도가 정말 높아서 화장이 금방 무너졌어요. 저자극 선크림 없이는 하루도 버티기 힘들었어요.
somin_92,아시아,베트남,열대기후,연수,★★★★☆,남성,29,수의사,복합성,33°C (체감),84%,"가벼운 수분 선크림, 쿠션, 미스트",워터프루프 아이라이너와 마스카라로 땀과 습기에 대비하는 것이 좋습니다.,저녁에 이중세안을 꼭 하고 산뜻한 젤 타입 제품으로 유수분 밸런스를 유지하세요.,생각보다 더 더워서 땀 때문에 끈적임이 심했는데 가벼운 수분 선크림이 정말 큰 도움이 됐습니다.
hana_world,아시아,베트남,열대기후,연수,★★★★☆,여성,36,영업직,복합성,35°C (체감),87%,"워터프루프 아이라이너, 피지 흡수 패드, 쿨링 젤",얇은 베이스에 워터프루프 제품 위주로 메이크업하고 픽싱 스프레이로 마무리하는 것을 추천합니다.,외출 중 블로팅 페이퍼로 피지를 자주 관리하고 쿨링 토너로 진정시켜 주세요.,야외 일정이 많았는데 자외선이 강해서 워터프루프 아이라이너을 자주 덧발라야 했어요.
